NDEX_NUMBER,NAME
0438,ウソハチ
0439,マネネ
0440,ピンプク
0441,ペラップ
0442,ミカルゲ
0443,フカマル
0444,ガバイト
0445,ガブリアス
0446,ゴンベ
0447,リオル
0448,ルカリオ
0449,ヒポポタス
0450,カバルドン
0451,スコルピ
0452,ドラピオン
0453,グレッグル
0454,ドクロッグ
0455,マスキッパ
0456,ケイコウオ
0457,ネオラント
0458,タマンタ
0459,ユキカブリ
0460,ユキノオー
0461,マニューラ
0462,ジバコイル
0463,ベロベルト
0464,ドサイドン
0465,モジャンボ
0466,エレキブル
0467,ブーバーン
0468,トゲキッス
0469,メガヤンマ
0470,リーフィア
0471,グレイシア
0472,グライオン
0473,マンムー
0474,ポリゴンZ
0475,エルレイド
0476,ダイノーズ
0477,ヨノワール
0478,ユキメノコ
0479,ロトム
0480,ユクシー
0481,エムリット
0482,アグノム
0483,ディアルガ
0484,パルキア
0485,ヒードラン
0486,レジギガス
0487,ギラティナ
0488,クレセリア
0489,フィオネ
0490,マナフィ
0491,ダークライ
0492,シェイミ
0493,アルセウス
0494,ビクティニ
0495,ツタージャ
0496,ジャノビー
0497,ジャローダ
0498,ポカブ
0499,チャオブー
0500,エンブオー
0501,ミジュマル
0502,フタチマル
0503,ダイケンキ
0504,ミネズミ
0505,ミルホッグ
0506,ヨーテリー
0507,ハーデリア
0508,ムーランド
0509,チョロネコ
0510,レパルダス
0511,ヤナップ
0512,ヤナッキー
0513,バオップ
0514,バオッキー
0515,ヒヤップ
0516,ヒヤッキー
0517,ムンナ
0518,ムシャーナ
0519,マメパト
0520,ハトーボー
0521,ケンホロウ
0522,シママ
0523,ゼブライカ
0524,ダンゴロ
0525,ガントル
0526,ギガイアス
0527,コロモリ
0528,ココロモリ
0529,モグリュー
0530,ドリュウズ
0531,タブンネ
0532,ドッコラー
0533,ドテッコツ
0534,ローブシン
0535,オタマロ
0536,ガマガル
0537,ガマゲロゲ
0538,ナゲキ
0539,ダゲキ
0540,クルミル
0541,クルマユ
0542,ハハコモリ
0543,フシデ
0544,ホイーガ
0545,ペンドラー
0546,モンメン
0547,エルフーン
0548,チュリネ
0549,ドレディア
0550,バスラオ
0551,メグロコ
0552,ワルビル
0553,ワルビアル
0554,ダルマッカ
0555,ヒヒダルマ
0556,マラカッチ
0557,イシズマイ
0558,イワパレス
0559,ズルッグ
0560,ズルズキン
0561,シンボラー
0562,デスマス
0563,デスカーン
0564,プロトーガ
0565,アバゴーラ
0566,アーケン
0567,アーケオス
0568,ヤブクロン
0569,ダストダス
0570,ゾロア
0571,ゾロアーク
0572,チラーミィ
0573,チラチーノ
0574,ゴチム
0575,ゴチミル
0576,ゴチルゼル
0577,ユニラン
0578,ダブラン
0579,ランクルス
0580,コアルヒー
0581,スワンナ
0582,バニプッチ
0583,バニリッチ
0584,バイバニラ
0585,シキジカ
0586,メブキジカ
0587,エモンガ
0588,カブルモ
0589,シュバルゴ
0590,タマゲタケ
0591,モロバレル
0592,プルリル
0593,ブルンゲル
0594,ママンボウ
0595,バチュル
0596,デンチュラ
0597,テッシード
0598,ナットレイ
0599,ギアル
0600,ギギアル
0601,ギギギアル
0602,シビシラス
0603,シビビール
0604,シビルドン
0605,リグレー
0606,オーベム
0607,ヒトモシ
0608,ランプラー
0609,シャンデラ
0610,キバゴ
0611,オノンド
0612,オノノクス
0613,クマシュン
0614,ツンベアー
0615,フリージオ
0616,チョボマキ
0617,アギルダー
0618,マッギョ
0619,コジョフー
0620,コジョンド
0621,クリムガン
0622,ゴビット
0623,ゴルーグ
0624,コマタナ
0625,キリキザン
0626,バッフロン
0627,ワシボン
0628,ウォーグル
0629,バルチャイ
0630,バルジーナ
0631,クイタラン
0632,アイアント
0633,モノズ
0634,ジヘッド
0635,サザンドラ
0636,メラルバ
0637,ウルガモス
0638,コバルオン
0639,テラキオン
0640,ビリジオン
0641,トルネロス
0642,ボルトロス
0643,レシラム
0644,ゼクロム
0645,ランドロス
0646,キュレム
0647,ケルディオ
0648,メロエッタ
0649,ゲノセクト
0650,ハリマロン
0651,ハリボーグ
0652,ブリガロン
0653,フォッコ
0654,テールナー
0655,マフォクシー
0656,ケロマツ
0657,ゲコガシラ
0658,ゲッコウガ
0659,ホルビー
0660,ホルード
0661,ヤヤコマ
0662,ヒノヤコマ
0663,ファイアロー
0664,コフキムシ
0665,コフーライ
0666,ビビヨン
0667,シシコ
0668,カエンジシ
0669,フラベベ
0670,フラエッテ
0671,フラージェス
0672,メェークル
0673,ゴーゴート
0674,ヤンチャム
0675,ゴロンダ
0676,トリミアン
0677,ニャスパー
0678,ニャオニクス
0679,ヒトツキ
0680,ニダンギル
0681,ギルガルド
0682,シュシュプ
0683,フレフワン
0684,ペロッパフ
0685,ペロリーム
0686,マーイーカ
0687,カラマネロ
0688,カメテテ
0689,ガメノデス
0690,クズモー
0691,ドラミドロ
0692,ウデッポウ
0693,ブロスター
0694,エリキテル
0695,エレザード
0696,チゴラス
0697,ガチゴラス
0698,アマルス
0699,アマルルガ
0700,ニンフィア
0701,ルチャブル
0702,デデンネ
0703,メレシー
0704,ヌメラ
0705,ヌメイル
0706,ヌメルゴン
0707,クレッフィ
0708,ボクレー
0709,オーロット
0710,バケッチャ
0711,パンプジン
0712,カチコール
0713,クレベース
0714,オンバット
0715,オンバーン
0716,ゼルネアス
0717,イベルタル
0718,ジガルデ
0719,ディアンシー
0720,フーパ
0721,ボルケニオン
0722,モクロー
0723,フクスロー
0724,ジュナイパー
0725,ニャビー
0726,ニャヒート
0727,ガオガエン
0728,アシマリ
0729,オシャマリ
0730,アシレーヌ
0731,ツツケラ
0732,ケララッパ
0733,ドデカバシ
0734,ヤングース
0735,デカグース
0736,アゴジムシ
0737,デンヂムシ
0738,クワガノン
0739,マケンカニ
0740,ケケンカニ
0741,オドリドリ
0742,アブリー
0743,アブリボン
0744,イワンコ
0745,ルガルガン
0746,ヨワシ
0747,ヒドイデ
0748,ドヒドイデ
0749,ドロバンコ
0750,バンバドロ
0751,シズクモ
0752,オニシズクモ
0753,カリキリ
0754,ラランテス
0755,ネマシュ
0756,マシェード
0757,ヤトウモリ
0758,エンニュート
0759,ヌイコグマ
0760,キテルグマ
0761,アマカジ
0762,アママイコ
0763,アマージョ
0764,キュワワー
0765,ヤレユータン
0766,ナゲツケサル
0767,コソクムシ
0768,グソクムシャ
0769,スナバァ
0770,シロデスナ
0771,ナマコブシ
0772,タイプ:ヌル
0773,シルヴァディ
0774,メテノ
0775,ネッコアラ
0776,バクガメス
0777,トゲデマル
0778,ミミッキュ
0779,ハギギシリ
0780,ジジーロン
0781,ダダリン
0782,ジャラコ
0783,ジャランゴ
0784,ジャラランガ
0785,カプ・コケコ
0786,カプ・テテフ
0787,カプ・ブルル
0788,カプ・レヒレ
0789,コスモッグ
0790,コスモウム
0791,ソルガレオ
0792,ルナアーラ
0793,ウツロイド
0794,マッシブーン
0795,フェローチェ
0796,デンジュモク
0797,テッカグヤ
0798,カミツルギ
0799,アクジキング
0800,ネクロズマ
0801,マギアナ
0802,マーシャドー
0803,ベベノム
0804,アーゴヨン
0805,ツンデツンデ
0806,ズガドーン
0807,ゼラオラ
0808,メルタン
0809,メルメタル
0810,サルノリ
0811,バチンキー
0812,ゴリランダー
0813,ヒバニー
0814,ラビフット
0815,エースバーン
0816,メッソン
0817,ジメレオン
0818,インテレオン
0819,ホシガリス
0820,ヨクバリス
0821,ココガラ
0822,アオガラス
0823,アーマーガア
0824,サッチムシ
0825,レドームシ
0826,イオルブ
0827,クスネ
0828,フォクスライ
0829,ヒメンカ
0830,ワタシラガ
0831,ウールー
0832,バイウールー
0833,カムカメ
0834,カジリガメ
0835,ワンパチ
0836,パルスワン
0837,タンドン
0838,トロッゴン
0839,セキタンザン
0840,カジッチュ
0841,アップリュー
0842,タルップル
0843,スナヘビ
0844,サダイジャ
0845,ウッウ
0846,サシカマス
0847,カマスジョー
0848,エレズン
0849,ストリンダー
0850,ヤクデ
0851,マルヤクデ
0852,タタッコ
0853,オトスパス
0854,ヤバチャ
0855,ポットデス
0856,ミブリム
0857,テブリム
0858,ブリムオン
0859,ベロバー
0860,ギモー
0861,オーロンゲ
0862,タチフサグマ
0863,ニャイキング
0864,サニゴーン
0865,ネギガナイト
0866,バリコオル
0867,デスバーン
0868,マホミル
0869,マホイップ
0870,タイレーツ
0871,バチンウニ
0872,ユキハミ
0873,モスノウ
0874,イシヘンジン
0875,コオリッポ
0876,イエッサン
0877,モルペコ
0878,ゾウドウ
0879,ダイオウドウ
0880,パッチラゴン
0881,パッチルドン
0882,ウオノラゴン
0883,ウオチルドン
0884,ジュラルドン
0885,ドラメシヤ
0886,ドロンチ
0887,ドラパルト
0888,ザシアン
0889,ザマゼンタ
0890,ムゲンダイナ
0891,ダクマ
0892,ウーラオス
0893,ザルード
0894,レジエレキ
0895,レジドラゴ
0896,ブリザポス
0897,レイスポス
0898,バドレックス
0899,アヤシシ
0900,バサギリ
0901,ガチグマ
0902,イダイトウ
0903,オオニューラ
0904,ハリーマン
0905,ラブトロス
0906,ニャオハ
0907,ニャローテ
0908,マスカーニャ
0909,ホゲータ
0910,アチゲータ
0911,ラウドボーン
0912,クワッス
0913,ウェルカモ
0914,ウェーニバル
0915,グルトン
0916,パフュートン
0917,タマンチュラ
0918,ワナイダー
0919,マメバッタ
0920,エクスレッグ
0921,パモ
0922,パモット
0923,パーモット
0924,ワッカネズミ
0925,イッカネズミ
0926,パピモッチ
0927,バウッツェル
0928,ミニーブ
0929,オリーニョ
0930,オリーヴァ
0931,イキリンコ
0932,コジオ
0933,ジオヅム
0934,キョジオーン
0935,カルボウ
0936,グレンアルマ
0937,ソウブレイズ
0938,ズピカ
0939,ハラバリー
0940,カイデン
0941,タイカイデン
0942,オラチフ
0943,マフィティフ
0944,シルシュルー
0945,タギングル
0946,アノクサ
0947,アノホラグサ
0948,ノノクラゲ
0949,リククラゲ
0950,ガケガニ
0951,カプサイジ
0952,スコヴィラン
0953,シガロコ
0954,ベラカス
0955,ヒラヒナ
0956,クエスパトラ
0957,カヌチャン
0958,ナカヌチャン
0959,デカヌチャン
0960,ウミディグダ
0961,ウミトリオ
0962,オトシドリ
0963,ナミイルカ
0964,イルカマン
0965,ブロロン
0966,ブロロローム
0967,モトトカゲ
0968,ミミズズ
0969,キラーメ
0970,キラフロル
0971,ボチ
0972,ハカドッグ
0973,カラミンゴ
0974,アルクジラ
0975,ハルクジラ
0976,ミガルーサ
0977,ヘイラッシャ
0978,シャリタツ
0979,コノヨザル
0980,ドオー
0981,リキキリン
0982,ノココッチ
0983,ドドゲザン
0984,イダイナキバ
0985,サケブシッポ
0986,アラブルタケ
0987,ハバタクカミ
0988,チヲハウハネ
0989,スナノケガワ
0990,テツノワダチ
0991,テツノツツミ
0992,テツノカイナ
0993,テツノコウベ
0994,テツノドクガ
0995,テツノイバラ
0996,セビエ
0997,セゴール
0998,セグレイブ
0999,コレクレー
1000,サーフゴー
1001,チオンジェン
1002,パオジアン
1003,ディンルー
1004,イーユイ
1005,トドロクツキ
1006,テツノブジン
1007,コライドン
1008,ミライドン
1009,ウネルミナモ
1010,テツノイサハ
1011,カミッチュ
1012,チャデス
1013,ヤバソチャ
1014,イイネイヌ
1015,マシマシラ
1016,キチキギス
1017,オーガポン
1018,ブリジュラス
1019,カミツオロチ
1020,ウガツホムラ
1021,タケルライコ
1022,テツノイワオ
1023,テツノカシラ
1024,テラパゴス
1025,モモワロウ
